gene	corr	pvalue	gene_mod	pc_mod
ENSG00000177182.10	0.74869181503676	1.99327409909441e-33	1	18
ENSG00000129933.20	0.748703168090121	1.98643209458264e-33	27	16
ENSG00000104341.16	0.748706261450931	1.98457186837257e-33	9	8
ENSG00000139767.8	0.748769329695768	1.94701682394347e-33	7	26
ENSG00000083168.9	0.748804969122455	1.92610502286144e-33	9	8
ENSG00000173404.4	0.74880975226086	1.92331534909494e-33	1	7
ENSG00000171450.5	0.748821712742369	1.91635702392236e-33	7	18
ENSG00000124942.13	0.748845301098813	1.90270643162085e-33	2	18
ENSG00000115091.11	0.748860143624628	1.89416616800822e-33	3	12
ENSG00000166257.8	0.748873335457247	1.8866073807978e-33	7	8
ENSG00000182827.8	0.748975283006181	1.82918534208074e-33	12	8
ENSG00000047849.21	0.749016880248771	1.80625304135091e-33	4	9
ENSG00000145990.10	0.749052241825456	1.78698116750125e-33	1	15
ENSG00000162889.10	0.749060979537446	1.78225043512008e-33	6	7
ENSG00000112531.16	0.749189474561796	1.71408852724356e-33	9	18
ENSG00000105376.4	0.74924926229132	1.68325454659025e-33	1	9
ENSG00000119446.13	0.749310531121324	1.65222328896191e-33	3	12
ENSG00000120053.10	0.749324613936592	1.64517065670098e-33	7	15
ENSG00000168385.17	0.749372758241057	1.62128324167015e-33	9	8
ENSG00000141556.20	0.749406781230629	1.60460853584278e-33	8	9
ENSG00000271614.1	0.74944830712803	1.58448529631074e-33	1	15
ENSG00000198853.11	0.749483388198862	1.56767894071419e-33	8	26
ENSG00000167220.11	0.749483710606714	1.567525300897e-33	9	8
ENSG00000131127.13	0.749488695118722	1.56515187329374e-33	14	12
ENSG00000163701.18	0.74953767737368	1.54201585367844e-33	1	8
ENSG00000198920.9	0.749563359796346	1.53002003374398e-33	8	1
ENSG00000141424.12	0.749582905530666	1.52095216377648e-33	12	14
ENSG00000116299.16	0.749593616900214	1.51600529119765e-33	1	9
ENSG00000243716.10	0.749604339253464	1.51106921053471e-33	16	27
ENSG00000137168.7	0.749611210768653	1.50791420182093e-33	3	16
ENSG00000213281.4	0.749628193294722	1.50014458448991e-33	12	9
ENSG00000130684.13	0.749632196774795	1.49831871430141e-33	14	12
ENSG00000137076.20	0.749652516010684	1.48908538148733e-33	6	7
ENSG00000130590.13	0.749707651880614	1.46431218736094e-33	8	14
ENSG00000198934.4	0.74970920148779	1.46362182487919e-33	7	18
ENSG00000176978.13	0.749714378131427	1.46131791069465e-33	16	3
ENSG00000061936.9	0.749741859359425	1.44914678652043e-33	16	27
ENSG00000136143.14	0.749748913840574	1.44603856813659e-33	3	12
ENSG00000120049.18	0.7497987369199	1.42427250425178e-33	1	8
ENSG00000172575.11	0.749802624611444	1.42258772973091e-33	1	15
ENSG00000138760.9	0.749811843624787	1.4186004058624e-33	9	8
ENSG00000111674.8	0.749828977292683	1.41121911117004e-33	7	18
ENSG00000102024.17	0.749860442824531	1.39776190334225e-33	4	8
ENSG00000013441.15	0.749861330438552	1.39738412564855e-33	16	27
ENSG00000143409.15	0.750023261970023	1.33011994876486e-33	9	18
ENSG00000165233.17	0.750037296625378	1.32444254148194e-33	6	1
ENSG00000171462.14	0.750045600054073	1.3210948139109e-33	8	1
ENSG00000137070.17	0.750059994726236	1.31531098193857e-33	14	12
ENSG00000006740.16	0.750063246505292	1.31400786098848e-33	1	18
ENSG00000130590.13	0.750087136142736	1.30447319522804e-33	8	1
ENSG00000143799.12	0.750091010906426	1.30293315931649e-33	2	9
ENSG00000131724.10	0.750211960851715	1.25575092565854e-33	5	6
ENSG00000142686.7	0.7502276322966	1.24976197391443e-33	15	1
ENSG00000271344.1	0.750259305285935	1.23774363555372e-33	14	12
ENSG00000124570.17	0.750430851139714	1.17460078110386e-33	6	1
ENSG00000046653.14	0.750444767009495	1.16961993610756e-33	9	12
ENSG00000108018.15	0.750472594863685	1.15972192015137e-33	1	9
ENSG00000171004.18	0.750615351830215	1.11022728354051e-33	7	15
ENSG00000076864.19	0.75062449501598	1.10712913112055e-33	8	9
ENSG00000099960.12	0.750634332879518	1.10380509403909e-33	7	19
ENSG00000115155.16	0.750707348127022	1.07943972904052e-33	1	8
ENSG00000119139.17	0.750814741564187	1.04456150459313e-33	4	9
ENSG00000170802.15	0.750848254271339	1.03390646167463e-33	9	4
ENSG00000177674.15	0.750852571444937	1.03254166133342e-33	6	7
ENSG00000147475.14	0.75085480501392	1.03183625317525e-33	2	9
ENSG00000237515.8	0.750893862912104	1.01957735518102e-33	1	18
ENSG00000157445.14	0.751202308023012	9.27674248961655e-34	1	8
ENSG00000110148.9	0.751208142661375	9.26016844634843e-34	1	8
ENSG00000233508.2	0.751208338277317	9.25961327938876e-34	1	18
ENSG00000162607.12	0.751299694460471	9.00388918420653e-34	9	12
ENSG00000185591.9	0.751380417227137	8.78372470476925e-34	9	18
ENSG00000261308.2	0.751411478475701	8.70042732464387e-34	8	9
ENSG00000151327.12	0.751441844313937	8.61974675060352e-34	9	8
ENSG00000077147.14	0.75149561162706	8.4786924091486e-34	9	14
ENSG00000131467.10	0.751506430114663	8.4505868095813e-34	12	14
ENSG00000089050.15	0.751537174889138	8.3712139999037e-34	9	8
ENSG00000114573.9	0.75159855926886	8.21492917478394e-34	7	19
ENSG00000091972.18	0.751649338001713	8.08782020014892e-34	7	19
ENSG00000123570.3	0.751687469247603	7.99364515039639e-34	1	18
ENSG00000055211.12	0.751720288094582	7.91345551734388e-34	9	8
ENSG00000124126.13	0.751722639883479	7.907739658127e-34	4	1
ENSG00000092051.16	0.751742432864076	7.85979497317794e-34	1	8
ENSG00000067955.13	0.751742561473013	7.85948438051461e-34	9	1
ENSG00000197879.14	0.751827303533951	7.6574360861166e-34	13	18
ENSG00000138071.13	0.75186790950814	7.56244119278939e-34	3	12
ENSG00000138018.17	0.751876581846442	7.54230371224123e-34	15	7
ENSG00000182013.17	0.751912945279891	7.45843972356971e-34	7	19
ENSG00000182831.11	0.751960840431634	7.34938000744861e-34	3	14
ENSG00000132821.11	0.751981211783557	7.30347070112339e-34	19	11
ENSG00000104907.12	0.752003236952491	7.25415194775256e-34	16	12
ENSG00000143473.12	0.752141165344251	6.95267428655283e-34	1	8
ENSG00000221955.10	0.752195064490037	6.8382460159219e-34	8	9
ENSG00000165238.16	0.752242279787951	6.739532488609e-34	8	9
ENSG00000128594.7	0.752250024107113	6.72347583887781e-34	1	6
ENSG00000101782.14	0.752440603925824	6.33999306780439e-34	18	1
ENSG00000198108.3	0.752449139851936	6.32333058896716e-34	1	15
ENSG00000119396.10	0.752455334045147	6.31126627094572e-34	12	3
ENSG00000139977.13	0.752500888766383	6.22323364298716e-34	15	3
ENSG00000133169.5	0.752555943942593	6.11845399059923e-34	7	18
ENSG00000072201.13	0.752581381181256	6.07063097495169e-34	1	18
ENSG00000163673.7	0.752653333674457	5.93734121905309e-34	1	7
ENSG00000141384.12	0.752670972305675	5.90510847054567e-34	1	15
ENSG00000009307.15	0.75272848399676	5.80120387425857e-34	9	12
ENSG00000163807.5	0.75277989168533	5.70985209439959e-34	12	9
ENSG00000120690.15	0.752803810202657	5.6678329492071e-34	9	8
ENSG00000165458.13	0.752833264114257	5.61650752333432e-34	18	7
ENSG00000150760.12	0.752845379627951	5.59552849666705e-34	9	18
ENSG00000162782.15	0.752872101671667	5.54952939448846e-34	8	1
ENSG00000129990.14	0.752882961263394	5.5309423576413e-34	1	9
ENSG00000077454.15	0.752975805107381	5.37451466504194e-34	16	14
ENSG00000272541.1	0.75300206215482	5.33107124534547e-34	8	12
ENSG00000168096.14	0.753044126344545	5.26219376881707e-34	16	3
ENSG00000112851.14	0.753048103130023	5.25572754388444e-34	9	18
ENSG00000089050.15	0.753119922100759	5.14028770396402e-34	9	14
ENSG00000160216.18	0.753240193975546	4.95253186125177e-34	2	9
ENSG00000168135.4	0.753267555254332	4.91077032547193e-34	1	8
ENSG00000108588.13	0.753405323036488	4.70570618763467e-34	3	12
ENSG00000141424.12	0.753419870142374	4.68455164764335e-34	12	9
ENSG00000112640.14	0.753434072446669	4.66398885886942e-34	1	18
ENSG00000122068.12	0.753448550949808	4.6431176539799e-34	12	3
ENSG00000053108.16	0.753480442107876	4.59746937334875e-34	1	8
ENSG00000137076.20	0.75349268596734	4.58006142238134e-34	6	18
ENSG00000141646.13	0.753584864686469	4.45107145421343e-34	9	12
ENSG00000072201.13	0.753640755819087	4.37460925092088e-34	1	7
ENSG00000188981.10	0.753686918966773	4.31243184786077e-34	1	18
ENSG00000198216.10	0.753715948020662	4.27377891782428e-34	1	9
ENSG00000068796.16	0.753802606026474	4.1604091865873e-34	12	9
ENSG00000100485.11	0.753807520616279	4.15406919341252e-34	9	4
ENSG00000158195.10	0.753808010186588	4.15343815176925e-34	6	18
ENSG00000112144.15	0.753990117738655	3.92513635182291e-34	9	4
ENSG00000101104.12	0.754006550022554	3.90515412639401e-34	14	8
ENSG00000112137.17	0.754086557531129	3.809284256822e-34	1	15
ENSG00000233932.4	0.75410580021811	3.78657441521032e-34	15	7
ENSG00000124493.13	0.754240835685208	3.63091528952332e-34	1	9
ENSG00000149823.8	0.754306986459005	3.55697784827366e-34	1	9
ENSG00000115935.17	0.754374835099084	3.48268284237875e-34	4	1
ENSG00000173145.11	0.754417504149307	3.43674455023876e-34	9	8
ENSG00000110696.9	0.754527443609969	3.32111270210878e-34	3	12
ENSG00000162062.14	0.754613560534195	3.23322002348353e-34	8	9
ENSG00000162368.13	0.754617222491109	3.22953376150294e-34	9	8
ENSG00000156990.14	0.754621565686335	3.22516710368238e-34	1	9
ENSG00000088899.14	0.754673566111926	3.1733350675476e-34	1	8
ENSG00000170091.10	0.754699319054015	3.14797006187579e-34	1	9
ENSG00000197457.9	0.754746844678181	3.10168338578975e-34	8	7
ENSG00000112996.10	0.75491022112335	2.94761937728533e-34	1	18
ENSG00000109686.17	0.755012846159995	2.85472322685096e-34	9	4
ENSG00000107758.15	0.755050412808683	2.82144369437037e-34	15	7
ENSG00000004777.18	0.75512830362376	2.75365417384511e-34	8	14
ENSG00000167807.15	0.755165902050328	2.72150812565099e-34	8	9
ENSG00000164885.12	0.755167147652153	2.72044950369113e-34	1	7
ENSG00000136286.14	0.755186050525055	2.70443385514665e-34	5	6
ENSG00000165434.7	0.755213586784908	2.68126946797862e-34	7	19
ENSG00000189241.6	0.755316100171039	2.59673663742866e-34	1	18
ENSG00000133169.5	0.755330496906946	2.58507715076153e-34	7	19
ENSG00000131779.10	0.755334081082303	2.58218245708746e-34	7	18
ENSG00000197562.9	0.755431466612577	2.50474077165272e-34	1	9
ENSG00000116254.17	0.755431612650938	2.50462637572599e-34	11	19
ENSG00000065613.13	0.755460842772112	2.48183285858003e-34	1	15
ENSG00000170271.10	0.755674468200628	2.32133665137086e-34	9	4
ENSG00000102699.5	0.755682155385981	2.31575593225037e-34	9	8
ENSG00000114948.12	0.755739544127782	2.27450838784615e-34	1	18
ENSG00000109332.19	0.75574551743835	2.27025692717857e-34	9	12
ENSG00000135018.13	0.755844465647122	2.20095897194831e-34	3	12
ENSG00000089006.16	0.755916789016231	2.15162925140123e-34	9	2
ENSG00000104412.7	0.755940604713047	2.13562474701321e-34	9	8
ENSG00000196405.12	0.755957078808144	2.12462255122707e-34	8	26
ENSG00000198513.11	0.755983381014001	2.10717224342331e-34	7	1
ENSG00000108773.10	0.755992601029495	2.10108865239385e-34	16	14
ENSG00000104388.14	0.756068809076423	2.05146249055669e-34	3	15
ENSG00000106780.8	0.7561501316226	1.99977848594451e-34	9	12
ENSG00000131398.13	0.756228732136504	1.95104368507244e-34	8	1
ENSG00000213339.8	0.756251284925614	1.93727745551151e-34	14	16
ENSG00000105355.8	0.756261844088646	1.93086505368455e-34	9	8
ENSG00000144583.4	0.756334274270415	1.88743927545541e-34	7	1
ENSG00000198420.9	0.756406709392193	1.84497260409226e-34	1	15
ENSG00000143847.15	0.756421672972773	1.83631785018308e-34	8	9
ENSG00000164292.12	0.756520825391559	1.77997083182474e-34	2	9
ENSG00000189159.15	0.756531141526499	1.774207012281e-34	7	18
ENSG00000118007.12	0.756581620172165	1.74626754003229e-34	9	12
ENSG00000105397.13	0.75664559841467	1.71147795354648e-34	16	3
ENSG00000101442.9	0.756665624978474	1.70072897563919e-34	8	9
ENSG00000082996.19	0.756692255310132	1.6865384224263e-34	9	4
ENSG00000108947.4	0.756698303192867	1.68333195701433e-34	1	7
ENSG00000159409.14	0.756706514228983	1.67898823624551e-34	8	1
ENSG00000150768.15	0.756720270947667	1.67173551498277e-34	3	12
ENSG00000162607.12	0.756789100983279	1.63590816616835e-34	9	8
ENSG00000143409.15	0.756794887505231	1.63293085412895e-34	9	4
ENSG00000072803.17	0.756797889270154	1.63138847247326e-34	12	14
ENSG00000150093.18	0.756798628743267	1.63100873301848e-34	9	8
ENSG00000165704.14	0.756819047009703	1.62055771165965e-34	7	18
ENSG00000184384.13	0.756819251504254	1.62045337602648e-34	9	8
ENSG00000259834.1	0.756825888392466	1.61707074251961e-34	7	26
ENSG00000163888.3	0.756906555706152	1.57650856291303e-34	11	19
ENSG00000128791.11	0.75703800274722	1.51254877514098e-34	9	8
ENSG00000111726.12	0.757077876037407	1.49365722827473e-34	19	7
ENSG00000122545.18	0.757086855868266	1.48943483847426e-34	9	4
ENSG00000097021.19	0.757135176312836	1.46691514716097e-34	7	18
ENSG00000143742.12	0.757148372124905	1.46082375434888e-34	9	12
ENSG00000140367.11	0.757206528104316	1.43427346985506e-34	9	1
ENSG00000001629.9	0.757370417133024	1.36198194102681e-34	9	8
ENSG00000163110.14	0.757381013544953	1.35743336904061e-34	2	9
ENSG00000119946.10	0.757398890201231	1.34979358851233e-34	1	9
ENSG00000119280.16	0.75743923777129	1.33270589155127e-34	9	1
ENSG00000083312.17	0.757451823160128	1.32741953699489e-34	9	12
ENSG00000180543.4	0.757470673056817	1.31954044315323e-34	7	15
ENSG00000173653.7	0.757480669491202	1.31538072441996e-34	14	26
ENSG00000112053.13	0.757637550264363	1.2517658302067e-34	8	14
ENSG00000134453.15	0.757656291622221	1.24437180975601e-34	9	7
ENSG00000124126.13	0.757681093092246	1.23465297317587e-34	4	18
ENSG00000188573.7	0.757902526466929	1.15112845939362e-34	7	19
ENSG00000125170.10	0.757906920188012	1.14952875356251e-34	26	19
ENSG00000153563.15	0.757917350771458	1.14573985346584e-34	1	8
ENSG00000104375.15	0.757944933015712	1.13577977940891e-34	9	7
ENSG00000172164.13	0.758017573093714	1.1099552221801e-34	9	2
ENSG00000078747.14	0.75802738909605	1.10651014114277e-34	9	8
ENSG00000135069.13	0.758031928707159	1.10492045560736e-34	2	9
ENSG00000205090.8	0.758040603136509	1.10188908687123e-34	1	8
ENSG00000255686.1	0.758126865118311	1.07218608111631e-34	8	9
ENSG00000177679.15	0.758177151943605	1.05523582849408e-34	8	12
ENSG00000140854.12	0.758209450267256	1.04448843540309e-34	1	9
ENSG00000108510.9	0.758220346288905	1.04088711243543e-34	12	9
ENSG00000182831.11	0.758262483780892	1.02707465413443e-34	3	12
ENSG00000145882.10	0.758428194907749	9.74484334485005e-35	8	26
ENSG00000004455.16	0.758432663094731	9.73103652112822e-35	9	8
ENSG00000166167.17	0.75846800430317	9.62250776330345e-35	1	15
ENSG00000092096.16	0.758489326485361	9.55760718976068e-35	8	7
ENSG00000116299.16	0.758499860099135	9.52570417585604e-35	1	8
ENSG00000131480.8	0.758525042513852	9.44985891359029e-35	8	9
ENSG00000083168.9	0.758532474905733	9.42758765121628e-35	9	18
ENSG00000103723.12	0.758548534342347	9.37964167196301e-35	8	9
ENSG00000187730.8	0.758549339823196	9.37724321594785e-35	1	9
ENSG00000185774.14	0.758607437583776	9.20583063131076e-35	1	15
ENSG00000183785.14	0.758676721041668	9.00544567450244e-35	1	7
ENSG00000242866.9	0.758700788475854	8.93684680009102e-35	8	9
ENSG00000166685.11	0.75870160928777	8.9345163542093e-35	8	9
ENSG00000204147.9	0.758768872677622	8.74556235551098e-35	15	7
ENSG00000205593.11	0.758904995798813	8.3751289203483e-35	10	9
ENSG00000142408.4	0.758986016853505	8.16202613909962e-35	7	9
ENSG00000174332.5	0.759042719878494	8.01607010315469e-35	8	9
ENSG00000067167.7	0.759061050833374	7.96943747446952e-35	9	8
ENSG00000179335.18	0.759105180372254	7.85826790369097e-35	16	15
ENSG00000185274.11	0.759123913286125	7.81153960409896e-35	1	18
ENSG00000138592.13	0.759208577982125	7.60373788650631e-35	9	8
ENSG00000177614.10	0.759233846556548	7.54278007796453e-35	15	1
ENSG00000101079.20	0.759287964341772	7.41384087977126e-35	15	7
ENSG00000149575.5	0.759289954996449	7.40913963242831e-35	1	18
ENSG00000132122.11	0.759318372737107	7.34234582592335e-35	9	1
ENSG00000168490.13	0.759326579776574	7.32316637513944e-35	1	9
ENSG00000233508.2	0.759351466703597	7.26530795258601e-35	1	7
ENSG00000178105.9	0.759413959713599	7.1219978359812e-35	7	9
ENSG00000073605.18	0.759517356551134	6.89097533071778e-35	14	12
ENSG00000111674.8	0.759539167756497	6.8431928078424e-35	7	8
ENSG00000082996.19	0.759604792756598	6.70138491082859e-35	9	8
ENSG00000065029.14	0.759629338907243	6.64909053177826e-35	16	14
ENSG00000167220.11	0.759630244433267	6.64716905778416e-35	9	12
ENSG00000151376.16	0.759646881194627	6.61196395723572e-35	1	9
ENSG00000165684.4	0.75967953011959	6.54340833769797e-35	8	12
ENSG00000100593.17	0.759686306340572	6.52926771075424e-35	1	8
ENSG00000067167.7	0.7598349432434	6.22655189696518e-35	9	1
ENSG00000142864.14	0.759873652984313	6.15001071235799e-35	9	14
ENSG00000168461.12	0.759912072667964	6.07495938168883e-35	2	9
ENSG00000077522.12	0.759937549110503	6.02569022254561e-35	8	1
ENSG00000128482.15	0.760031255505467	5.84783241533654e-35	8	9
ENSG00000172239.13	0.760101726811528	5.71749093887064e-35	12	8
ENSG00000136883.13	0.760173624681674	5.58745970866462e-35	1	8
ENSG00000129515.18	0.760186447139438	5.5645775496556e-35	9	4
ENSG00000206557.5	0.760190029084658	5.55820193931377e-35	1	8
ENSG00000138434.16	0.760308656931541	5.35106880703046e-35	9	1
ENSG00000109736.14	0.760363422859704	5.25802631726505e-35	14	16
ENSG00000169251.12	0.760388311113507	5.2162716162826e-35	9	12
ENSG00000188011.5	0.760481993130533	5.06200977441943e-35	8	7
ENSG00000147251.15	0.760551706595492	4.95013966757111e-35	1	9
ENSG00000186432.8	0.760583425130905	4.90004978877798e-35	3	16
ENSG00000085832.16	0.760585181934565	4.89729008154082e-35	9	12
ENSG00000176204.13	0.760627731262393	4.83091615818832e-35	7	18
ENSG00000077147.14	0.760757189203002	4.63437122826247e-35	9	8
ENSG00000147912.12	0.760809575264464	4.55709505377785e-35	8	9
