gene	corr	pvalue	gene_mod	pc_mod
ENSG00000167978.16	0.770876148534628	4.28629003921158e-22	11	12
ENSG00000169021.5	0.770896752431358	4.26876421955014e-22	6	25
ENSG00000206190.11	0.770906357759292	4.26061774665748e-22	21	20
ENSG00000159363.17	0.770912425669422	4.25547924042707e-22	8	2
ENSG00000005513.9	0.77092652569458	4.24356218661442e-22	9	12
ENSG00000130962.17	0.770927049971495	4.24311970618035e-22	9	5
ENSG00000106976.20	0.770970637599541	4.20648936218023e-22	8	7
ENSG00000164061.4	0.770993204944278	4.18764540084984e-22	2	28
ENSG00000004534.14	0.771047071218434	4.14299844503642e-22	11	6
ENSG00000183837.9	0.771057727004488	4.13422154354794e-22	8	28
ENSG00000198625.12	0.77115470087367	4.05517501230201e-22	11	12
ENSG00000088538.12	0.77116144538534	4.04973246544336e-22	8	2
ENSG00000175182.14	0.771162980468329	4.04849471074828e-22	2	8
ENSG00000184207.8	0.771228781781333	3.99578359267091e-22	2	8
ENSG00000182979.17	0.771232641584421	3.99271249565411e-22	11	7
ENSG00000170846.16	0.771246708080892	3.981539780667e-22	15	3
ENSG00000115808.11	0.771406871011836	3.85645490213402e-22	9	5
ENSG00000104852.14	0.771475114440633	3.80432903242057e-22	11	7
ENSG00000204278.12	0.771493139960041	3.79067577546643e-22	9	12
ENSG00000085276.17	0.771612189352331	3.70169467470463e-22	21	20
ENSG00000058673.16	0.77167069390103	3.65871590576225e-22	11	12
ENSG00000074317.10	0.771713173150871	3.62781483905773e-22	8	28
ENSG00000137962.12	0.771715050437463	3.62645511252874e-22	20	21
ENSG00000008056.13	0.771800657016057	3.56497488479224e-22	8	28
ENSG00000173120.14	0.771854933155044	3.52652275437386e-22	11	25
ENSG00000092148.12	0.771874906610747	3.51247447949501e-22	11	25
ENSG00000165795.23	0.771957260434381	3.45512499971528e-22	1	18
ENSG00000176490.4	0.77197101482959	3.44563608610513e-22	2	3
ENSG00000165102.14	0.771974331524772	3.4433517602422e-22	11	7
ENSG00000084731.14	0.772046477133466	3.39402617500739e-22	2	3
ENSG00000254999.3	0.772083518264693	3.36896958001879e-22	6	15
ENSG00000170248.13	0.772234351035627	3.26878705601624e-22	11	12
ENSG00000159082.17	0.772271868904679	3.24432233890528e-22	3	8
ENSG00000135900.3	0.772320333030622	3.21298378563406e-22	6	11
ENSG00000197586.12	0.772359524236497	3.18785735573618e-22	8	2
ENSG00000154146.12	0.772389349102127	3.16886433996387e-22	2	8
ENSG00000100209.9	0.77241018700784	3.15565987656561e-22	25	11
ENSG00000126777.17	0.772537712413671	3.07601078022415e-22	5	2
ENSG00000160014.16	0.772588340848082	3.04493590271662e-22	2	8
ENSG00000165434.7	0.772648643114778	3.00832249305374e-22	3	8
ENSG00000198911.11	0.772693353121387	2.98145352019749e-22	2	28
ENSG00000154783.11	0.772702555219981	2.97595251313944e-22	20	21
ENSG00000113387.11	0.772795321977351	2.92104625816876e-22	6	11
ENSG00000104324.15	0.772952640121078	2.8301824775258e-22	28	8
ENSG00000106400.11	0.77296591058074	2.82264497286073e-22	25	6
ENSG00000135905.18	0.773013428353882	2.79581541526236e-22	12	9
ENSG00000197586.12	0.773066754630365	2.76600219859473e-22	8	7
ENSG00000213246.6	0.773074508049634	2.761693363416e-22	6	25
ENSG00000183495.13	0.7730901521539	2.75301931756903e-22	11	6
ENSG00000241973.10	0.77313975578958	2.72569124744663e-22	8	13
ENSG00000214548.14	0.773140192543898	2.72545180514743e-22	7	11
ENSG00000052841.14	0.773188777024729	2.69894387433674e-22	11	6
ENSG00000171735.18	0.773205667885846	2.68978713765532e-22	16	28
ENSG00000136531.15	0.773222106900921	2.68090443016428e-22	8	3
ENSG00000213949.8	0.773232769236792	2.67515840377728e-22	20	27
ENSG00000128284.19	0.773265301454297	2.65770059186131e-22	20	21
ENSG00000117394.20	0.773268659389596	2.6559049531561e-22	20	21
ENSG00000172350.9	0.773295208762179	2.64174938486293e-22	8	2
ENSG00000005075.15	0.773481383474374	2.54453022189498e-22	25	16
ENSG00000173120.14	0.773645644308042	2.4616566746485e-22	11	6
ENSG00000109458.8	0.773702350716203	2.43366248197625e-22	9	5
ENSG00000106299.7	0.773834200449489	2.36976647557054e-22	15	3
ENSG00000140750.16	0.773845539775745	2.36434829567341e-22	11	6
ENSG00000172375.12	0.773947176213828	2.31632023455199e-22	8	2
ENSG00000175220.11	0.773969168487893	2.30605368031343e-22	12	11
ENSG00000278041.1	0.774010012045619	2.28710441095701e-22	12	11
ENSG00000158863.21	0.77403418968811	2.27595885458333e-22	11	6
ENSG00000237289.9	0.774140517621918	2.22756830312611e-22	8	28
ENSG00000082438.15	0.774183143383187	2.20845192695065e-22	21	27
ENSG00000278259.4	0.774209121388916	2.1968800909312e-22	11	6
ENSG00000164715.5	0.77424798034967	2.1796807114492e-22	8	28
ENSG00000171456.16	0.77445986554386	2.08818217705345e-22	11	6
ENSG00000163660.11	0.774483862260192	2.07805875738154e-22	11	6
ENSG00000165704.14	0.774549591004618	2.05057431589101e-22	3	15
ENSG00000079805.16	0.774552515204439	2.04935983133065e-22	12	15
ENSG00000149091.15	0.774557503627674	2.04728964732138e-22	2	28
ENSG00000169045.17	0.774763156576922	1.96369577114749e-22	11	6
ENSG00000161904.11	0.774763767761413	1.96345236556918e-22	11	12
ENSG00000144712.11	0.774802977371308	1.9478983598916e-22	8	7
ENSG00000117592.8	0.774824041445578	1.93959213973991e-22	1	16
ENSG00000169021.5	0.774857513312939	1.92646410976828e-22	6	12
ENSG00000149294.16	0.774858893218016	1.92592475904603e-22	11	6
ENSG00000132780.16	0.775037565592929	1.85731805501688e-22	12	11
ENSG00000135164.18	0.775058421971165	1.84946659409741e-22	11	25
ENSG00000175854.11	0.775063665783787	1.8474976366217e-22	25	7
ENSG00000177169.9	0.775126825059904	1.82394237998894e-22	2	7
ENSG00000116560.10	0.775131438619284	1.82223327224555e-22	11	12
ENSG00000100836.10	0.77515169550816	1.81474749948542e-22	11	7
ENSG00000117868.15	0.775257577206129	1.77610494219357e-22	20	21
ENSG00000105223.19	0.775389647908465	1.72902733439492e-22	8	28
ENSG00000137509.10	0.775422175196512	1.7176207275729e-22	1	16
ENSG00000111639.7	0.775424953011954	1.71665001518708e-22	6	7
ENSG00000125814.17	0.775539221011406	1.67717899733049e-22	3	2
ENSG00000154917.10	0.775582226224005	1.66255422832809e-22	2	3
ENSG00000146425.10	0.775637718023553	1.64386672668089e-22	28	2
ENSG00000198169.8	0.775694310612273	1.62501944774979e-22	11	7
ENSG00000105723.11	0.775701324984586	1.62269814296744e-22	2	8
ENSG00000185608.8	0.77572221915799	1.61580265671449e-22	25	11
ENSG00000103249.17	0.77572880652112	1.6136346259063e-22	7	6
ENSG00000166086.12	0.775837806010452	1.57816969836557e-22	9	12
ENSG00000137168.7	0.775861710494528	1.57049414705208e-22	6	11
ENSG00000108773.10	0.775924363531967	1.55054898703072e-22	11	7
ENSG00000163995.19	0.775954570773436	1.54102115355136e-22	2	8
ENSG00000153902.13	0.775993096148433	1.52895242553545e-22	1	18
ENSG00000176894.9	0.776068969009804	1.50545276806651e-22	16	25
ENSG00000172264.16	0.77608353120061	1.50098295190283e-22	3	15
ENSG00000108309.13	0.776088015004869	1.49960926978747e-22	2	8
ENSG00000132639.12	0.776101113578274	1.49560333646917e-22	3	2
ENSG00000137033.11	0.776231177064988	1.45638786563855e-22	1	16
ENSG00000111077.17	0.776236208177823	1.45489124548515e-22	11	12
ENSG00000100321.14	0.776298653823553	1.43643967514628e-22	8	28
ENSG00000002933.7	0.776385825511654	1.41106298982851e-22	1	28
ENSG00000135778.11	0.776392538168147	1.40912708202391e-22	6	11
ENSG00000116329.10	0.776406204350238	1.40519379812043e-22	2	8
ENSG00000110801.13	0.776415953345814	1.40239446787057e-22	6	25
ENSG00000106153.12	0.776420226195583	1.40116927425189e-22	6	16
ENSG00000138795.9	0.776563763249479	1.36061240188196e-22	21	20
ENSG00000188185.11	0.776603245831057	1.34965864008329e-22	11	6
ENSG00000114554.11	0.776611832513743	1.34728781836607e-22	8	28
ENSG00000165832.5	0.776723418393401	1.31684518335339e-22	15	3
ENSG00000059378.12	0.776745211337944	1.31097844181622e-22	21	20
ENSG00000158008.9	0.776757666468004	1.30763692460482e-22	2	8
ENSG00000137168.7	0.776919405341845	1.26499163264339e-22	6	7
ENSG00000147669.10	0.776989786248398	1.24686065453785e-22	6	11
ENSG00000273079.5	0.777010618993593	1.2415426486696e-22	8	3
ENSG00000245526.10	0.777160577238314	1.20390961560382e-22	1	16
ENSG00000239467.5	0.777191012991234	1.19640846332002e-22	6	16
ENSG00000266173.6	0.777233285183597	1.18606565533366e-22	11	7
ENSG00000110799.13	0.777271627014677	1.17675991217262e-22	20	21
ENSG00000154079.5	0.777449703736502	1.13446454276039e-22	3	15
ENSG00000164588.6	0.777457329329778	1.1326868575911e-22	3	8
ENSG00000108654.13	0.777461011806687	1.13182936783488e-22	11	6
ENSG00000120053.10	0.777927310990068	1.02821130065774e-22	8	3
ENSG00000110536.13	0.777985212764009	1.01600885769775e-22	16	28
ENSG00000160469.16	0.777989362946064	1.01513967491367e-22	2	28
ENSG00000223891.5	0.777996033223871	1.01374422083399e-22	6	25
ENSG00000170425.3	0.778070446153029	9.9830291980067e-23	1	16
ENSG00000151778.10	0.778239402741225	9.64089448194805e-23	3	15
ENSG00000177731.15	0.778269239015538	9.58167576824256e-23	12	15
ENSG00000168303.6	0.778342366511606	9.43802874313773e-23	6	25
ENSG00000138175.8	0.778459254520693	9.2127702980127e-23	16	12
ENSG00000185942.11	0.778544146424511	9.05246681982674e-23	1	16
ENSG00000164951.15	0.778601270768736	8.94613146452097e-23	8	3
ENSG00000204149.10	0.77861558858876	8.91967068741673e-23	11	6
ENSG00000135709.12	0.778635504077676	8.88299168932149e-23	2	28
ENSG00000165775.17	0.778645308879804	8.86498792499597e-23	25	16
ENSG00000166780.10	0.77878436534339	8.6134475994877e-23	8	28
ENSG00000177731.15	0.778830863112971	8.5309002309773e-23	12	11
ENSG00000113763.10	0.779077350661485	8.10602794051684e-23	8	2
ENSG00000133424.20	0.779082590673448	8.09722345958817e-23	2	3
ENSG00000168303.6	0.779085845626557	8.09175905013118e-23	6	7
ENSG00000111077.17	0.779113053792256	8.04622243494763e-23	11	27
ENSG00000186487.17	0.779201532393752	7.89986175484786e-23	3	8
ENSG00000100320.22	0.77920165857289	7.89965489512903e-23	2	28
ENSG00000140983.13	0.779239487839318	7.83787462921076e-23	11	6
ENSG00000186487.17	0.779278155152662	7.77521258474254e-23	3	2
ENSG00000137497.17	0.779384776207367	7.60494785541408e-23	11	15
ENSG00000101888.11	0.779401658134744	7.578324340283e-23	13	28
ENSG00000159658.10	0.779483218459127	7.45097484876427e-23	5	13
ENSG00000232838.3	0.779608024340037	7.26013031617844e-23	6	11
ENSG00000166780.10	0.779690536198733	7.136584567403e-23	8	3
ENSG00000160460.15	0.779693673685295	7.13192745919854e-23	8	2
ENSG00000123131.12	0.779847905458554	6.90661111132368e-23	28	7
ENSG00000203772.7	0.779868906958913	6.87647210040381e-23	2	28
ENSG00000204149.10	0.779869270375609	6.87595169553793e-23	11	7
ENSG00000198598.6	0.779999265880812	6.6922432930512e-23	8	28
ENSG00000100478.14	0.780007912311574	6.68019543481546e-23	3	15
ENSG00000001036.13	0.780054137774892	6.61614313206708e-23	28	7
ENSG00000143847.15	0.780112028826432	6.53677044095153e-23	2	28
ENSG00000163072.15	0.780114475146639	6.53343688882492e-23	20	21
ENSG00000169908.11	0.780150412847295	6.4846558903166e-23	20	14
ENSG00000106399.11	0.78016713386174	6.4620803915331e-23	6	11
ENSG00000144034.14	0.780273510113147	6.32024279924036e-23	6	7
ENSG00000101489.19	0.780386084452544	6.17344700437189e-23	3	8
ENSG00000068903.19	0.780489914072931	6.04100441425153e-23	9	12
ENSG00000176444.18	0.780508555791637	6.01752061875682e-23	11	6
ENSG00000136807.13	0.780531042019985	5.98931213460138e-23	11	6
ENSG00000164199.16	0.780579000315173	5.9295795148686e-23	1	18
ENSG00000166963.12	0.780762366244094	5.70650443503084e-23	2	8
ENSG00000165775.17	0.780790122202322	5.67345873957233e-23	25	6
ENSG00000107816.17	0.780925106947006	5.51539016524824e-23	12	9
ENSG00000164885.12	0.780948901057603	5.48797573173446e-23	2	8
ENSG00000114209.14	0.780974249828627	5.45891625145672e-23	6	11
ENSG00000121753.12	0.780984443459274	5.44727275652761e-23	2	8
ENSG00000110274.15	0.781024968140731	5.40122315000951e-23	11	6
ENSG00000124772.11	0.781026707805482	5.3992548283083e-23	2	28
ENSG00000169783.12	0.781086775824187	5.33171892965566e-23	8	2
ENSG00000233508.2	0.781112213998588	5.30336708385601e-23	3	15
ENSG00000100258.17	0.78125281138331	5.14929729283577e-23	11	7
ENSG00000196547.14	0.781271264147061	5.12940315473422e-23	12	6
ENSG00000150779.11	0.781367485934115	5.02687337614924e-23	6	25
ENSG00000146250.6	0.781382878153368	5.0106585625367e-23	1	16
ENSG00000068971.13	0.781456338917503	4.93397169185095e-23	2	28
ENSG00000143537.13	0.781468659753058	4.92122232762272e-23	12	15
ENSG00000138663.8	0.781547459283426	4.84043841880255e-23	6	15
ENSG00000151090.17	0.781596148108067	4.79117127843775e-23	3	15
ENSG00000143442.21	0.781658059460662	4.72923020944955e-23	11	25
ENSG00000104885.17	0.781683950932136	4.70355846923815e-23	11	6
ENSG00000241404.6	0.781686995624808	4.7005485585864e-23	21	20
ENSG00000128311.13	0.781823679142551	4.56734388644004e-23	1	16
ENSG00000132932.16	0.781825587711449	4.56551020056731e-23	8	2
ENSG00000105810.9	0.781831360956256	4.55996783832785e-23	9	5
ENSG00000175768.12	0.781859307746709	4.53323129302733e-23	6	15
ENSG00000165775.17	0.781924936934561	4.47104370131416e-23	25	11
ENSG00000119688.20	0.781977898810545	4.42146631071078e-23	11	15
ENSG00000105695.14	0.782067455120781	4.33884986299792e-23	9	12
ENSG00000143553.10	0.782098024476265	4.31099545465302e-23	16	28
ENSG00000089159.16	0.782156198956258	4.25846839793255e-23	20	3
ENSG00000196405.12	0.782160009760555	4.25504939922676e-23	2	7
