gene	corr	pvalue	gene_mod	pc_mod
ENSG00000104447.12	0.732706711975366	4.4934847985358e-32	2	14
ENSG00000155097.11	0.732713348901676	4.4849131990037e-32	8	6
ENSG00000153814.11	0.732734463259358	4.45775088653141e-32	8	11
ENSG00000116478.11	0.732737399142247	4.4539869014153e-32	7	11
ENSG00000050030.13	0.73279283685874	4.38349672266359e-32	4	8
ENSG00000173821.19	0.732924921856681	4.2199429647554e-32	7	4
ENSG00000163939.18	0.73306248646809	4.05599052366891e-32	7	14
ENSG00000176597.11	0.733099009747688	4.01352518917084e-32	9	3
ENSG00000196923.13	0.733293092991102	3.79510311604943e-32	10	1
ENSG00000164111.14	0.733355659116219	3.7272175252851e-32	11	4
ENSG00000125851.9	0.733428483034696	3.64970636355995e-32	4	18
ENSG00000091317.7	0.733454639328318	3.62225565414724e-32	11	18
ENSG00000144043.11	0.733469716790217	3.60652449258156e-32	7	4
ENSG00000164209.16	0.733486481681662	3.58911169667102e-32	8	15
ENSG00000258504.2	0.733541208877451	3.53284351845525e-32	6	8
ENSG00000135932.10	0.733944461560322	3.14416855220988e-32	8	1
ENSG00000141380.13	0.73396253219448	3.12777375902216e-32	14	2
ENSG00000069345.11	0.73402893433388	3.0682492139475e-32	8	6
ENSG00000139826.5	0.734035464727841	3.06245578640239e-32	8	1
ENSG00000107872.12	0.734087947648628	3.01628501984325e-32	18	7
ENSG00000165995.18	0.734110512379801	2.99664543700146e-32	4	11
ENSG00000134824.13	0.734241939253549	2.88473271388462e-32	2	11
ENSG00000068383.18	0.734267071869474	2.8638053044172e-32	4	11
ENSG00000182718.16	0.734352696969435	2.79362279439816e-32	9	19
ENSG00000137947.11	0.734369089266769	2.7803812845425e-32	8	6
ENSG00000261115.5	0.734374964275128	2.77565057591578e-32	4	11
ENSG00000197562.9	0.734395663472784	2.75904609813053e-32	4	14
ENSG00000164323.12	0.734400545145292	2.75514439119096e-32	14	10
ENSG00000204147.9	0.734436371148362	2.72667595899412e-32	4	8
ENSG00000166333.13	0.734505620134241	2.67246698767631e-32	11	4
ENSG00000119698.11	0.734579736230837	2.61562319653555e-32	4	11
ENSG00000164930.11	0.734647645412835	2.56458566579386e-32	11	13
ENSG00000060138.12	0.734673418850703	2.54547322102941e-32	19	11
ENSG00000108395.13	0.734698030322536	2.52735334211889e-32	4	11
ENSG00000124126.13	0.73469837850237	2.52709791223916e-32	5	7
ENSG00000205336.11	0.734721369757508	2.51028731090797e-32	2	11
ENSG00000149499.11	0.734726263077291	2.50672367762857e-32	6	8
ENSG00000100364.18	0.73479019542906	2.46061905924441e-32	5	6
ENSG00000012983.11	0.734792439268248	2.45901617641259e-32	5	7
ENSG00000146006.7	0.734808328033175	2.44769543441625e-32	4	11
ENSG00000169884.13	0.734866972672419	2.40635355103003e-32	10	18
ENSG00000150457.8	0.734904165599662	2.3804911992244e-32	11	4
ENSG00000132639.12	0.734909444144915	2.37684296986975e-32	4	11
ENSG00000101367.8	0.73492520325877	2.36598388297559e-32	2	11
ENSG00000145990.10	0.734946845425957	2.35115052896321e-32	4	11
ENSG00000156411.9	0.734980964674346	2.32795122076879e-32	4	11
ENSG00000166398.12	0.734983363434901	2.326328693691e-32	5	13
ENSG00000107295.9	0.735044599768661	2.28528318469265e-32	4	11
ENSG00000084070.11	0.735137413249587	2.22442763850304e-32	4	2
ENSG00000112640.14	0.735152824360522	2.21447856890176e-32	4	11
ENSG00000171208.9	0.735221008687082	2.17098337909156e-32	4	18
ENSG00000143742.12	0.735246997364792	2.15462735196103e-32	2	14
ENSG00000111912.19	0.735281312854017	2.1332165369923e-32	8	2
ENSG00000073921.17	0.735331431787677	2.10232116285676e-32	5	7
ENSG00000177889.9	0.735572405883109	1.95981802377565e-32	8	1
ENSG00000183401.11	0.73560720327319	1.94004190012885e-32	5	6
ENSG00000065534.18	0.735642805801216	1.92001153572288e-32	14	2
ENSG00000205562.2	0.73568769167761	1.89504819054723e-32	4	11
ENSG00000184371.13	0.735725938334653	1.87402958219001e-32	11	19
ENSG00000143418.19	0.735735414295115	1.86885760467824e-32	5	7
ENSG00000065548.17	0.735738835513671	1.86699375872955e-32	8	6
ENSG00000169032.9	0.735838973478168	1.81324290327232e-32	4	8
ENSG00000204856.11	0.735874645277679	1.7944658151304e-32	4	11
ENSG00000185475.10	0.735877736239352	1.79284782133665e-32	11	4
ENSG00000154001.13	0.735900823218214	1.78080805868638e-32	8	1
ENSG00000127314.17	0.735902870073268	1.77974448153452e-32	14	18
ENSG00000139644.12	0.735919136507845	1.77131439532535e-32	2	7
ENSG00000133169.5	0.735920943431458	1.77038038574586e-32	4	7
ENSG00000106089.11	0.735933933307506	1.76368009765194e-32	4	18
ENSG00000133985.2	0.7359630371669	1.74875857103585e-32	4	7
ENSG00000213199.7	0.735979534785267	1.74035551792069e-32	10	6
ENSG00000157219.3	0.735990420064391	1.73483288599299e-32	4	11
ENSG00000159658.10	0.7359950795578	1.73247417453792e-32	14	7
ENSG00000165752.16	0.736010737723002	1.72457086346928e-32	4	14
ENSG00000111783.12	0.736035024134539	1.71238269270413e-32	2	11
ENSG00000068697.6	0.736172548518085	1.64494875171248e-32	2	4
ENSG00000184515.10	0.736312657665824	1.57893681146498e-32	4	11
ENSG00000271614.1	0.73632971650728	1.5710798655445e-32	4	7
ENSG00000178202.12	0.736343786842589	1.56462833886038e-32	11	4
ENSG00000115282.19	0.736354797297509	1.55959802396994e-32	7	6
ENSG00000184672.11	0.736355579088544	1.55924145532938e-32	4	11
ENSG00000168056.15	0.736407318443922	1.53582110053404e-32	6	8
ENSG00000204065.2	0.736483216181271	1.50209054306531e-32	4	7
ENSG00000270885.1	0.736623224364693	1.4417706318328e-32	18	4
ENSG00000071127.16	0.736695568097919	1.4115436428447e-32	11	4
ENSG00000198934.4	0.736832288836257	1.35611225893372e-32	4	18
ENSG00000173452.13	0.736892046449617	1.33256273906867e-32	4	8
ENSG00000134371.10	0.736899741362778	1.32955970752216e-32	14	1
ENSG00000009844.15	0.737045961580518	1.27374527321199e-32	8	1
ENSG00000137497.17	0.737074162153623	1.26324916831435e-32	6	8
