gene	corr	pvalue	gene_mod	pc_mod
ENSG00000171163.15	0.745186663880351	1.11678712885556e-22	6	22
ENSG00000103249.17	0.745195072816165	1.11490378092207e-22	2	22
ENSG00000198934.4	0.745201734871775	1.11341388439966e-22	4	17
ENSG00000187664.8	0.745212291209271	1.11105705547559e-22	8	20
ENSG00000109787.12	0.745218479542699	1.10967770228356e-22	18	8
ENSG00000182899.14	0.745235898889166	1.10580397906322e-22	21	11
ENSG00000099804.8	0.74530421914892	1.09073798154958e-22	2	9
ENSG00000151952.15	0.745322833743722	1.08666796598705e-22	4	20
ENSG00000129675.15	0.745333613977624	1.08431769318144e-22	1	8
ENSG00000073169.13	0.74543766103014	1.06188741661492e-22	2	6
ENSG00000118276.11	0.745446891004423	1.05991966506754e-22	4	20
ENSG00000180964.16	0.745449064966394	1.05945671349614e-22	12	6
ENSG00000170786.12	0.745488256658383	1.05114452583492e-22	4	20
ENSG00000176485.11	0.745505416854742	1.04752509493991e-22	3	11
ENSG00000142686.7	0.745523259524853	1.04377462694067e-22	4	20
ENSG00000100813.14	0.745544151254907	1.03939992545309e-22	6	22
ENSG00000132963.7	0.745579588875058	1.03202025603959e-22	21	22
ENSG00000196990.8	0.745656048675186	1.0162718815801e-22	7	8
ENSG00000172380.5	0.745685877331479	1.01019195889542e-22	1	8
ENSG00000076928.17	0.74572377145234	1.00251928797447e-22	14	12
ENSG00000165152.8	0.745791925121004	9.88862777102743e-23	4	17
ENSG00000149269.9	0.745804448508858	9.86373203274059e-23	4	8
ENSG00000198794.11	0.745847562000085	9.77849233574166e-23	8	11
ENSG00000144224.16	0.745938794087346	9.6004828940319e-23	14	18
ENSG00000006025.11	0.745941742388223	9.59478337559602e-23	6	2
ENSG00000105723.11	0.745954296608009	9.57055112018121e-23	8	7
ENSG00000213585.10	0.745954923210249	9.56934321520544e-23	12	24
ENSG00000119699.7	0.745963483258416	9.55285686360722e-23	3	20
ENSG00000172164.13	0.746091913310249	9.3088107369234e-23	1	18
ENSG00000149927.17	0.746183573633564	9.13837074127887e-23	8	4
ENSG00000119280.16	0.746219521686022	9.07236180877362e-23	1	18
ENSG00000163827.12	0.74623870631509	9.03732524245091e-23	4	20
ENSG00000185634.11	0.746281544392747	8.95956718341499e-23	3	20
ENSG00000104870.12	0.746384834619586	8.77475654649357e-23	1	4
ENSG00000100100.12	0.746399592811661	8.74865657117634e-23	1	4
ENSG00000130255.12	0.74642451327395	8.70475658721099e-23	11	21
ENSG00000139998.14	0.746436452283571	8.6838010952462e-23	8	7
ENSG00000177971.8	0.746457412681565	8.64713029661152e-23	12	14
ENSG00000181991.15	0.746463854323972	8.63589088425658e-23	12	14
ENSG00000273032.1	0.746481214875513	8.60567110932421e-23	8	18
ENSG00000176204.13	0.746514043225182	8.5488084091401e-23	4	20
ENSG00000132932.16	0.746523594817729	8.53233293128295e-23	4	8
ENSG00000198010.12	0.746587966327719	8.42210504409916e-23	8	20
ENSG00000166105.15	0.746635444180596	8.34169795737703e-23	8	20
ENSG00000113269.13	0.746656135919962	8.30689012193282e-23	3	20
ENSG00000174915.11	0.746665554289185	8.29109348182349e-23	6	9
ENSG00000119280.16	0.746698617276896	8.235871684723e-23	1	4
ENSG00000085733.15	0.746740784569746	8.16596496764999e-23	6	12
ENSG00000146535.13	0.746773417068473	8.11226361902678e-23	1	4
ENSG00000019505.7	0.746779755677907	8.10187263622735e-23	4	17
ENSG00000115233.11	0.746798366826102	8.07143816208933e-23	24	6
ENSG00000164172.18	0.746799120316891	8.07020834743759e-23	12	6
ENSG00000237289.9	0.746851516706938	7.98513670487188e-23	8	18
ENSG00000128285.4	0.746930512483425	7.8585314529501e-23	4	20
ENSG00000188191.14	0.746998447400097	7.75122324624305e-23	8	20
ENSG00000213923.11	0.747013978075335	7.72689316467074e-23	6	17
ENSG00000101911.12	0.747027465812123	7.70582405516837e-23	4	17
ENSG00000168434.12	0.747100694322788	7.5924100559237e-23	6	2
ENSG00000171421.12	0.74711548931139	7.56969486420022e-23	12	6
ENSG00000175426.10	0.747159777095544	7.50209457891689e-23	4	8
ENSG00000181754.6	0.747161153754106	7.50000274443718e-23	8	4
ENSG00000172350.9	0.747175002264845	7.47899158458904e-23	8	4
ENSG00000168135.4	0.747207847931496	7.42938732548181e-23	7	18
ENSG00000112851.14	0.747237772317416	7.38447473393128e-23	3	18
