gene	corr	pvalue	gene_mod	pc_mod
ENSG00000182255.6	0.778037092271461	2.93223014731175e-30	1	6
ENSG00000114383.9	0.778102674777768	2.87901374516371e-30	1	6
ENSG00000171224.8	0.778119941706656	2.86516099544327e-30	1	6
ENSG00000073169.13	0.77823042391527	2.77805996573769e-30	3	2
ENSG00000116117.17	0.778277011620195	2.74211534885923e-30	7	6
ENSG00000070718.11	0.77834017947813	2.69410643742222e-30	1	6
ENSG00000164742.14	0.778407524769099	2.64383107389142e-30	1	6
ENSG00000175582.19	0.778430732159682	2.62672026506677e-30	1	10
ENSG00000160396.8	0.778517797936595	2.56348995169173e-30	1	6
ENSG00000168522.12	0.778676334171365	2.45216887657245e-30	6	5
ENSG00000174469.19	0.778721873186651	2.421078976386e-30	1	6
ENSG00000184307.14	0.778732967651639	2.41356348199688e-30	1	6
ENSG00000149489.8	0.778744664582121	2.40566466626734e-30	6	1
ENSG00000130147.15	0.778957903511777	2.26603437443928e-30	6	5
ENSG00000145864.12	0.779133274761038	2.15718717570251e-30	1	6
ENSG00000117013.14	0.77914185165499	2.15199748777324e-30	1	6
ENSG00000175426.10	0.779284963369191	2.06719007551989e-30	1	6
ENSG00000145526.11	0.779310856755206	2.05220013883098e-30	1	6
ENSG00000008311.14	0.779366543050447	2.02032327983594e-30	7	1
ENSG00000040199.18	0.779527388637244	1.93095349711813e-30	1	6
ENSG00000163453.11	0.779566442995074	1.90984623792828e-30	6	1
ENSG00000140497.16	0.779568579879844	1.90869789732778e-30	6	1
ENSG00000182979.17	0.779668817876507	1.8555857376469e-30	10	9
ENSG00000146670.9	0.779727528205258	1.82515389177026e-30	1	6
ENSG00000144619.14	0.77981620461865	1.78011586884087e-30	1	6
ENSG00000083812.11	0.779923790662611	1.72693640523487e-30	1	6
ENSG00000160539.4	0.780026076562671	1.67782414997778e-30	1	6
ENSG00000113712.17	0.7800546514607	1.66435072621458e-30	2	9
ENSG00000143756.11	0.780076201013593	1.65426013229749e-30	1	9
ENSG00000169744.12	0.780109415143129	1.63882506846079e-30	1	6
ENSG00000119318.12	0.780118193455205	1.63476933690304e-30	1	9
ENSG00000146267.11	0.780124390081285	1.6319123215878e-30	1	6
ENSG00000006530.15	0.780190170972584	1.60188390775927e-30	1	6
ENSG00000169116.11	0.78020536748557	1.5950243192827e-30	1	6
ENSG00000123352.17	0.780280532838184	1.56151695113756e-30	1	6
ENSG00000143061.17	0.7804644366786	1.48242153356099e-30	1	6
ENSG00000171617.13	0.780483491635499	1.47445455578591e-30	1	6
ENSG00000075790.10	0.780651696762485	1.40592561450073e-30	1	9
ENSG00000181804.14	0.780655205401839	1.40452995958087e-30	6	1
ENSG00000118873.15	0.780671668485432	1.39799946644395e-30	1	9
ENSG00000162631.18	0.780676562288506	1.39606396977794e-30	1	6
ENSG00000126950.7	0.780688738959949	1.39125950805915e-30	1	6
ENSG00000111224.13	0.780763216117722	1.36222479010678e-30	1	9
ENSG00000008086.11	0.780919667337355	1.30315594336559e-30	1	6
ENSG00000102181.20	0.780943861889973	1.29424850234855e-30	1	6
ENSG00000234432.4	0.780993447537071	1.27617942634238e-30	1	6
ENSG00000009709.11	0.780994261898128	1.27588474829063e-30	1	6
ENSG00000107295.9	0.781102377812743	1.23735002826236e-30	1	6
ENSG00000166197.16	0.781228410485321	1.19386978237244e-30	1	9
ENSG00000255693.1	0.781268833747744	1.18024438270987e-30	1	6
ENSG00000135069.13	0.781297397292785	1.17070866121449e-30	7	6
ENSG00000117533.14	0.781305777541597	1.16792535453347e-30	1	9
ENSG00000108924.13	0.781349793475239	1.15341277427987e-30	1	6
ENSG00000135148.11	0.781411654570808	1.13331518772349e-30	6	1
ENSG00000109332.19	0.781483205628673	1.1104979393777e-30	2	3
