gene	corr	pvalue	gene_mod	pc_mod
ENSG00000067842.17	0.784518889647477	1.0978617099522e-31	2	1
ENSG00000232859.9	0.784540314365176	1.0909435529173e-31	8	2
ENSG00000131044.16	0.784587016226483	1.07601129009837e-31	1	5
ENSG00000022355.16	0.784638727636143	1.05971138309683e-31	2	1
ENSG00000166448.14	0.784726606253357	1.03256562879686e-31	2	1
ENSG00000119403.13	0.784727619002102	1.03225680468411e-31	1	2
ENSG00000275066.4	0.784777146072875	1.0172643549642e-31	1	2
ENSG00000134851.12	0.784894293494485	9.82648211048346e-32	1	2
ENSG00000116679.15	0.784901626433619	9.80520277878662e-32	1	2
ENSG00000130558.19	0.784940036476036	9.69447843222311e-32	2	1
ENSG00000137843.11	0.785044856292743	9.39852436284121e-32	8	1
ENSG00000133226.16	0.785073478416284	9.31926511597658e-32	1	2
ENSG00000138028.15	0.785122782305454	9.18427105174011e-32	2	8
ENSG00000189410.11	0.785185080710392	9.01644133015209e-32	2	8
ENSG00000131899.10	0.785235021225762	8.88408130161108e-32	1	2
ENSG00000176438.12	0.785595472047917	7.98372580659847e-32	1	2
ENSG00000136237.18	0.78565345014984	7.84752594853556e-32	1	10
ENSG00000109339.19	0.785700211103998	7.73934144901246e-32	2	10
ENSG00000152154.10	0.785705661878065	7.72682643662457e-32	2	1
ENSG00000186047.9	0.785725978941028	7.68035317247149e-32	2	1
ENSG00000144583.4	0.785746222484817	7.63432109682878e-32	8	1
ENSG00000106290.14	0.785942988382709	7.20077394467263e-32	8	1
ENSG00000158711.13	0.786111610577572	6.84854596123685e-32	1	2
ENSG00000165704.14	0.786164206083335	6.74218437174796e-32	2	1
ENSG00000127946.16	0.786165157559091	6.74027525961936e-32	1	2
ENSG00000104472.9	0.786168005147	6.73456481740835e-32	1	2
ENSG00000114948.12	0.786272519461079	6.52823127237061e-32	2	1
ENSG00000072195.14	0.786337828702769	6.40246200396587e-32	8	1
ENSG00000107295.9	0.786400100468537	6.28475951631384e-32	2	1
ENSG00000050165.17	0.786410513870079	6.2652851819782e-32	2	1
ENSG00000166086.12	0.78645456207516	6.18356304842932e-32	1	10
ENSG00000118762.7	0.786490718478119	6.11726551106956e-32	1	2
ENSG00000116473.14	0.786526950735913	6.05152922967239e-32	1	2
ENSG00000168159.11	0.786556813014355	5.99787190979852e-32	2	8
ENSG00000204147.9	0.786681662385905	5.77855429730547e-32	2	1
ENSG00000131089.15	0.786693511547132	5.75815325709377e-32	2	8
ENSG00000254377.5	0.786710725199467	5.72864197176179e-32	2	1
ENSG00000065361.14	0.786827316562043	5.5326297073643e-32	1	2
ENSG00000177380.13	0.78701231908891	5.23504253228953e-32	8	1
ENSG00000124702.17	0.787146052208835	5.02977054548417e-32	2	1
ENSG00000159423.16	0.787265804998349	4.85267912241929e-32	4	10
ENSG00000175772.10	0.787545852248451	4.46209876422209e-32	2	1
ENSG00000131778.18	0.787571195957171	4.4283149547722e-32	1	2
ENSG00000086504.15	0.787647270523817	4.32840713150312e-32	2	1
ENSG00000119638.12	0.78778469822867	4.15350551897703e-32	1	12
ENSG00000189403.14	0.787934416498087	3.97085764483451e-32	1	2
ENSG00000103978.15	0.787936074123891	3.96888024851545e-32	1	8
