gene	corr	pvalue	gene_mod	pc_mod
ENSG00000126950.7	0.741550673073937	1.08909117146806e-25	7	1
ENSG00000103978.15	0.74156818606785	1.08473820986795e-25	1	7
ENSG00000182636.5	0.741580189730927	1.08176447758609e-25	7	1
ENSG00000158615.8	0.741699958252428	1.05252763841996e-25	18	10
ENSG00000163453.11	0.741808392140059	1.02672644170008e-25	11	10
ENSG00000080200.9	0.741819072132137	1.02421898368338e-25	1	7
ENSG00000125170.10	0.741924744984363	9.99730197451902e-26	7	9
ENSG00000170248.13	0.741971194140734	9.89148390190922e-26	1	18
ENSG00000156671.12	0.742099856635463	9.60406891391822e-26	1	7
ENSG00000198794.11	0.742221903453261	9.33900339475425e-26	7	1
ENSG00000057704.12	0.742224930484407	9.33252112981446e-26	1	7
ENSG00000183283.15	0.742396790137156	8.97163277231689e-26	1	18
ENSG00000103269.13	0.742411647838156	8.94108317290877e-26	7	9
ENSG00000134243.11	0.742431339308916	8.90075166241434e-26	1	7
ENSG00000157870.14	0.742439557383067	8.88397240935301e-26	7	1
ENSG00000204576.11	0.742477532942921	8.80683748195981e-26	7	1
ENSG00000266086.1	0.74247840085093	8.80508230340176e-26	9	4
ENSG00000153046.17	0.742534890087838	8.69157775780555e-26	18	9
ENSG00000151778.10	0.742535823605345	8.68971412373107e-26	7	14
ENSG00000100596.6	0.74253660076106	8.68816294226588e-26	1	7
ENSG00000242689.2	0.742670540952917	8.42483566067626e-26	1	7
ENSG00000134590.13	0.742770150429476	8.23408928778513e-26	7	18
ENSG00000116857.16	0.742794376328878	8.18834169378078e-26	7	1
ENSG00000068903.19	0.742844744774771	8.09402292158283e-26	1	7
ENSG00000116044.15	0.742845637341973	8.09236115800314e-26	1	7
ENSG00000109787.12	0.743023089104995	7.76853976823702e-26	1	7
ENSG00000112305.14	0.743046334025805	7.72707347276215e-26	3	14
ENSG00000184207.8	0.743135704706383	7.56965669882064e-26	7	18
ENSG00000076928.17	0.743157761259022	7.53129254147636e-26	1	14
ENSG00000105278.10	0.743213190940505	7.43571975590376e-26	7	9
ENSG00000078269.14	0.743222105719697	7.42046009249907e-26	1	7
ENSG00000163069.12	0.743325412033899	7.24585074105821e-26	1	4
ENSG00000133104.12	0.743361223821245	7.18626617149236e-26	1	18
ENSG00000231528.2	0.743431064681583	7.07144117192666e-26	1	7
ENSG00000158815.10	0.743493834095531	6.96977760736928e-26	9	18
ENSG00000110756.17	0.743557932194884	6.8674403487467e-26	1	7
ENSG00000184005.10	0.74364017970606	6.73828083183336e-26	1	18
ENSG00000184205.14	0.74364381486097	6.73262754012962e-26	7	1
ENSG00000177542.10	0.743764490774914	6.54757122949518e-26	7	14
ENSG00000106976.20	0.743803663375653	6.48857874778905e-26	7	1
ENSG00000106052.13	0.743833231545242	6.44439543200411e-26	4	9
ENSG00000175582.19	0.743846330099061	6.42491679811051e-26	3	14
ENSG00000235961.5	0.743860636175183	6.40370839297539e-26	7	1
ENSG00000113575.9	0.743902378163539	6.34221826086578e-26	3	14
ENSG00000184349.12	0.743904702085334	6.33881194672287e-26	7	1
ENSG00000123124.13	0.743929196848546	6.30301733124263e-26	4	9
ENSG00000070367.15	0.743991158859204	6.21335307880008e-26	4	18
ENSG00000068650.18	0.744087693136897	6.07614480355937e-26	1	18
ENSG00000131943.17	0.744142754596364	5.9992180204553e-26	7	14
ENSG00000181215.14	0.744190563734897	5.9331982235168e-26	7	18
ENSG00000148408.12	0.744251094830818	5.85063122832241e-26	7	18
ENSG00000097021.19	0.744310218487908	5.77107144333545e-26	7	1
ENSG00000119139.17	0.744360412860018	5.70436023263862e-26	1	7
ENSG00000182013.17	0.744400651149805	5.65142746921494e-26	7	14
ENSG00000105223.19	0.744404921767901	5.64583787999819e-26	7	1
ENSG00000169242.11	0.744535548794046	5.4774598248632e-26	1	10
ENSG00000176401.5	0.744642084224369	5.34378769596588e-26	7	1
ENSG00000077152.9	0.744648251422482	5.33614824987106e-26	7	18
ENSG00000177511.5	0.744662299409661	5.31878662626672e-26	7	1
ENSG00000170271.10	0.744665895635668	5.31435102976064e-26	1	7
ENSG00000128283.6	0.744672156756398	5.3066371914422e-26	1	7
ENSG00000069509.5	0.744735063073826	5.22974160474208e-26	14	17
ENSG00000169750.8	0.744757919437721	5.20207370725208e-26	7	18
ENSG00000143458.11	0.744792762154079	5.16017197501762e-26	1	7
ENSG00000064961.18	0.744804872717374	5.14568545422174e-26	1	7
ENSG00000032389.12	0.74482176783803	5.12554226089093e-26	7	1
ENSG00000078053.16	0.74483405994936	5.11093558259543e-26	7	1
ENSG00000181035.13	0.744841751573378	5.10181640572259e-26	7	1
ENSG00000023171.16	0.744863652410678	5.07593805541126e-26	7	18
ENSG00000072501.17	0.744892284389753	5.04230002334507e-26	1	18
ENSG00000104859.14	0.744903945870585	5.02866232556047e-26	1	3
ENSG00000132026.13	0.744931099141142	4.99704743155103e-26	7	18
ENSG00000156959.8	0.744941091587882	4.98546219685122e-26	7	18
ENSG00000107872.12	0.744947323635151	4.9782500975509e-26	7	14
