gene	corr	pvalue	gene_mod	pc_mod
ENSG00000097021.19	0.753310751529977	1.21478037094551e-29	1	5
ENSG00000173039.18	0.753334784027021	1.20698760428308e-29	12	1
ENSG00000182173.12	0.753358861770732	1.19922940784644e-29	6	13
ENSG00000023697.12	0.753380207583597	1.19239245014583e-29	5	1
ENSG00000053438.8	0.75338478609714	1.19093096900755e-29	1	2
ENSG00000112137.17	0.753391979249998	1.18863843629229e-29	1	12
ENSG00000067141.16	0.753413893011444	1.18168097506661e-29	2	12
ENSG00000176165.10	0.753440503883388	1.17328597471419e-29	1	12
ENSG00000203877.8	0.753472570476319	1.16324763788779e-29	1	12
ENSG00000073969.18	0.753496901529077	1.15568721517421e-29	1	2
ENSG00000198729.4	0.753547137849849	1.14022958029868e-29	1	12
ENSG00000165868.13	0.753597591924948	1.12490936981573e-29	1	12
ENSG00000111218.11	0.753690232228045	1.09730407647759e-29	1	5
ENSG00000182158.14	0.753729888534213	1.08569152894753e-29	2	1
ENSG00000167193.7	0.753752440898381	1.07914145354195e-29	5	8
ENSG00000174996.11	0.753753948434312	1.07870499362005e-29	1	5
ENSG00000180543.4	0.753787661660055	1.06898954971574e-29	1	2
ENSG00000141750.6	0.75379213712093	1.06770629486547e-29	1	12
ENSG00000107745.17	0.753819914844675	1.05977532144995e-29	1	12
ENSG00000115694.14	0.753858369745242	1.04889126798515e-29	1	5
ENSG00000055118.14	0.75387004098585	1.04560967833457e-29	1	12
ENSG00000109099.13	0.753889496545907	1.0401617813022e-29	2	1
ENSG00000008324.11	0.7539432220487	1.02526207567996e-29	1	12
ENSG00000128203.6	0.753959402679789	1.02081591429893e-29	1	5
ENSG00000099364.16	0.753961083825643	1.02035505153781e-29	1	12
ENSG00000144749.13	0.754003109373577	1.00890050662553e-29	4	12
ENSG00000171450.5	0.754021691859512	1.00387599506299e-29	1	12
ENSG00000115657.12	0.754042901541372	9.98171147139795e-30	1	13
ENSG00000157693.14	0.754044392287763	9.97771375291918e-30	1	12
ENSG00000062282.14	0.754104501394731	9.81782325851842e-30	1	12
ENSG00000112514.15	0.754212454954799	9.53696042479735e-30	1	12
ENSG00000124493.13	0.754214350944105	9.53209882761398e-30	1	12
ENSG00000091317.7	0.75442864129825	8.99802697443286e-30	12	5
ENSG00000160190.13	0.754450615005142	8.94495298482273e-30	1	2
ENSG00000162599.15	0.754474333501573	8.88800978134138e-30	4	12
ENSG00000158301.18	0.754577427370688	8.6446119638323e-30	1	2
ENSG00000135439.11	0.754580286901362	8.6379549677984e-30	1	12
ENSG00000197965.11	0.75459480727477	8.60422911509067e-30	5	12
ENSG00000167081.16	0.754616933378011	8.55308630135043e-30	1	12
ENSG00000092820.17	0.754695314907918	8.37430420359854e-30	4	9
ENSG00000120899.17	0.754702357135291	8.35842231567449e-30	1	2
ENSG00000152583.12	0.754950836619275	7.81659024665528e-30	4	9
ENSG00000188786.9	0.754958013599916	7.80146413287898e-30	2	1
ENSG00000108510.9	0.755036692832584	7.63751438113604e-30	5	8
ENSG00000159674.11	0.755041241261798	7.62814065810142e-30	1	5
ENSG00000157870.14	0.755127211723298	7.45307701711719e-30	1	2
ENSG00000165238.16	0.755207905567544	7.2923516430121e-30	1	5
ENSG00000106976.20	0.755295841762993	7.12107643908005e-30	1	5
ENSG00000166681.13	0.755312142075603	7.08976493725322e-30	1	2
ENSG00000169813.16	0.75532220465459	7.07050313448071e-30	12	1
ENSG00000141026.5	0.755327557056096	7.06027851102482e-30	1	2
ENSG00000147065.16	0.755378050980619	6.96453258841369e-30	12	1
ENSG00000104419.14	0.755388549375856	6.94478640702372e-30	2	1
ENSG00000103197.16	0.755568787245005	6.61423251633859e-30	13	3
ENSG00000102780.16	0.755581407990638	6.59167410738066e-30	1	2
ENSG00000198046.11	0.755592746295518	6.57147239365069e-30	1	12
ENSG00000167671.11	0.755603303846105	6.55271644853634e-30	1	5
ENSG00000038210.12	0.755607361131741	6.54552249976869e-30	5	1
ENSG00000134602.15	0.755660563182922	6.451904997178e-30	1	12
ENSG00000179546.4	0.755683042743449	6.41274502310828e-30	1	2
ENSG00000122783.16	0.755768540786232	6.2659263090614e-30	2	1
ENSG00000127586.16	0.755784835740922	6.23832132909906e-30	1	13
ENSG00000018408.14	0.755790416900016	6.22889388237467e-30	4	5
ENSG00000174516.14	0.755796769762425	6.21817993751728e-30	1	12
ENSG00000241360.1	0.755815504871821	6.18668893166434e-30	1	12
ENSG00000196730.12	0.755853501235474	6.12330277976426e-30	1	2
ENSG00000145214.13	0.755939599669667	5.98202289265755e-30	1	5
ENSG00000105223.19	0.755975414738152	5.92420099036061e-30	1	5
ENSG00000139668.8	0.756037301809097	5.82557810645053e-30	2	1
ENSG00000101367.8	0.756113766611529	5.70594923907504e-30	4	1
ENSG00000166816.13	0.756161679277859	5.63222322863079e-30	4	9
ENSG00000250571.6	0.756210253865611	5.55843399992758e-30	1	8
ENSG00000107854.5	0.75628325358685	5.44932319273894e-30	5	8
ENSG00000113615.12	0.75628706909874	5.44367846763928e-30	5	8
ENSG00000123570.3	0.756298060368757	5.4274499013963e-30	1	2
ENSG00000167770.11	0.756384989035053	5.30076325315076e-30	1	5
ENSG00000186591.11	0.756412738310739	5.26093747212068e-30	4	12
ENSG00000120053.10	0.756452716373618	5.20407716740544e-30	1	12
ENSG00000132825.6	0.756496933367561	5.14189078702544e-30	4	12
ENSG00000196581.10	0.756525043897946	5.1027365185281e-30	1	12
ENSG00000173145.11	0.756563084416557	5.05021704409882e-30	2	1
ENSG00000149654.9	0.756577999220363	5.02977059397389e-30	1	12
ENSG00000116266.10	0.756610068310536	4.98608260065473e-30	2	5
ENSG00000158445.9	0.75661522451441	4.97909312992788e-30	1	12
ENSG00000108947.4	0.756624169725507	4.96699030940759e-30	1	2
ENSG00000130770.17	0.756649927312359	4.93230160690417e-30	1	2
ENSG00000135473.14	0.756677212532418	4.89581512725639e-30	2	6
ENSG00000111783.12	0.756679297690449	4.89303773143868e-30	4	12
ENSG00000175229.6	0.756707275819232	4.85592069016104e-30	1	12
ENSG00000119318.12	0.756718512384617	4.84109172246721e-30	3	6
ENSG00000091622.15	0.756759090453552	4.78791000793444e-30	1	2
ENSG00000188573.7	0.756802716780393	4.73137332824385e-30	1	5
ENSG00000123064.12	0.756911046941508	4.59380542958114e-30	1	5
ENSG00000107518.16	0.756953084721111	4.54148667154469e-30	1	12
ENSG00000176438.12	0.757023317561094	4.4553801270323e-30	2	1
ENSG00000150995.18	0.757120730433151	4.33859962921982e-30	1	12
ENSG00000164885.12	0.757158286466101	4.29438431389102e-30	1	5
ENSG00000156395.12	0.757183597836241	4.26483482095352e-30	1	2
ENSG00000172031.6	0.757235079445747	4.2053480429223e-30	1	12
ENSG00000150093.18	0.757249449233623	4.18888981824875e-30	2	1
ENSG00000170500.12	0.757260993207129	4.17571394235685e-30	1	2
ENSG00000049769.12	0.757262611202282	4.17387047662633e-30	1	12
ENSG00000185658.13	0.757270299885244	4.16512128107091e-30	1	2
ENSG00000267002.2	0.75734838767857	4.07727704073383e-30	1	5
ENSG00000149243.15	0.757449851927373	3.96584963917831e-30	1	12
ENSG00000114626.17	0.757515915884466	3.89491219876091e-30	1	5
ENSG00000150457.8	0.757522508703496	3.88790180806757e-30	2	12
ENSG00000168016.13	0.757565105133537	3.84290523577334e-30	1	12
ENSG00000049449.8	0.75769500433626	3.70882184017202e-30	1	2
ENSG00000167074.14	0.757714092791452	3.6895097931357e-30	1	2
ENSG00000282033.1	0.757717828116813	3.68574228655666e-30	1	12
ENSG00000136950.13	0.757739680931035	3.663776806452e-30	1	2
ENSG00000273238.1	0.757743075976581	3.66037581732256e-30	1	12
ENSG00000100836.10	0.757818674671776	3.58544305010657e-30	6	3
ENSG00000198354.6	0.758026176786571	3.38742670636871e-30	1	12
ENSG00000168135.4	0.758066376358385	3.3503264504769e-30	1	12
ENSG00000130202.9	0.758173337124558	3.25354504025231e-30	12	10
ENSG00000079805.16	0.758269165312895	3.16917254511315e-30	2	1
ENSG00000270111.2	0.758297936504787	3.14426295697985e-30	1	12
ENSG00000131626.16	0.758329416297924	3.11722861924605e-30	4	12
ENSG00000160460.15	0.758377292644242	3.07655030478389e-30	1	5
ENSG00000267060.5	0.758382337175095	3.07229468720724e-30	1	5
ENSG00000204851.6	0.758432629209086	3.03018274959893e-30	1	5
ENSG00000160323.18	0.758469212192104	2.99990680830275e-30	1	13
ENSG00000047249.17	0.758478721427506	2.99208578287647e-30	1	2
ENSG00000166448.14	0.758554264604223	2.93066154906558e-30	1	5
ENSG00000188368.9	0.758554965850272	2.93009720802335e-30	1	12
ENSG00000122515.14	0.758591402131069	2.90092082979648e-30	1	13
ENSG00000166257.8	0.758643767634475	2.85948829728444e-30	1	12
ENSG00000173852.14	0.758717165934402	2.80239106204589e-30	5	12
ENSG00000172575.11	0.758778498112927	2.75554028444193e-30	1	2
ENSG00000117069.14	0.758808939722932	2.73257294786437e-30	1	12
ENSG00000204314.10	0.758810243006878	2.73159386595901e-30	1	5
