gene	corr	pvalue	gene_mod	pc_mod
ENSG00000073712.14	0.770862985224716	6.47910543846961e-20	4	6
ENSG00000134780.9	0.770978731691558	6.34699633742939e-20	1	14
ENSG00000139988.9	0.770980489231001	6.34501065408259e-20	1	6
ENSG00000183111.11	0.771006337598819	6.31587656706979e-20	3	10
ENSG00000158109.14	0.771080857144867	6.23261007451101e-20	1	6
ENSG00000108947.4	0.771236949732335	6.06163823457768e-20	1	6
ENSG00000014216.15	0.771248871193817	6.04876934868487e-20	1	3
ENSG00000143590.13	0.771286798782133	6.00800389440142e-20	1	6
ENSG00000119950.20	0.771344977930714	5.94598989917575e-20	6	10
ENSG00000119574.12	0.771426351277271	5.86029511224398e-20	1	6
ENSG00000168032.8	0.771428232429303	5.85832831953479e-20	1	6
ENSG00000182768.8	0.771557669076392	5.72452832275068e-20	1	3
ENSG00000108061.11	0.771689831683024	5.5909756683672e-20	1	6
ENSG00000239382.10	0.771695439869225	5.58537597559642e-20	1	6
ENSG00000065559.14	0.771705497647242	5.57534707670546e-20	1	6
ENSG00000159720.11	0.771711906108326	5.56896614458195e-20	1	6
ENSG00000133226.16	0.771758936783098	5.52235413587179e-20	3	8
ENSG00000145198.14	0.771835472946201	5.4473085579398e-20	1	6
ENSG00000173267.13	0.771919973765208	5.3656043237381e-20	1	10
ENSG00000132938.19	0.771933322698158	5.35280657156862e-20	1	6
ENSG00000118007.12	0.771968931011774	5.31881344152182e-20	6	10
ENSG00000171813.13	0.772122344707867	5.17474177165692e-20	1	6
ENSG00000172466.15	0.772152977902424	5.14643162295475e-20	10	3
ENSG00000260903.2	0.772215797076311	5.08884625391584e-20	1	13
ENSG00000011009.10	0.772244588138659	5.06266362623388e-20	1	10
ENSG00000083168.9	0.772284715723765	5.02638979570545e-20	6	1
ENSG00000125149.11	0.772292845706556	5.01907142366127e-20	3	12
ENSG00000139644.12	0.772425362833442	4.90123304510926e-20	4	6
ENSG00000131507.10	0.772493753023784	4.84147452639581e-20	1	3
ENSG00000138069.16	0.772494554367932	4.84077853538389e-20	1	3
ENSG00000113763.10	0.772565333991058	4.77968635910095e-20	1	6
ENSG00000010017.12	0.772668852094096	4.69168363226575e-20	1	3
ENSG00000277531.2	0.772723303889295	4.64602708274657e-20	1	6
ENSG00000123989.13	0.772785326287686	4.59454860990189e-20	1	10
ENSG00000147642.16	0.772868991957646	4.52598356124489e-20	1	10
ENSG00000022277.12	0.773021788284725	4.4033221124875e-20	6	1
ENSG00000119242.8	0.77311271567498	4.3318672822476e-20	1	13
ENSG00000077279.18	0.773113782331178	4.3310357791649e-20	1	6
ENSG00000226380.9	0.773146252274645	4.3057981876373e-20	1	6
ENSG00000099783.11	0.773272289647024	4.20918137776982e-20	10	1
ENSG00000049245.12	0.773333965785691	4.16267307920214e-20	10	6
ENSG00000139725.7	0.773344453757031	4.15481422111322e-20	1	6
ENSG00000150867.13	0.77335566283604	4.14643096032767e-20	3	10
ENSG00000129245.11	0.773446085011953	4.07940273421097e-20	1	6
ENSG00000158560.14	0.773517522637269	4.02719303473797e-20	1	6
ENSG00000172794.19	0.773584898353129	3.97854727909433e-20	1	13
ENSG00000142623.9	0.773641400977901	3.93819260231763e-20	1	6
ENSG00000100697.14	0.773708883492249	3.8905170112173e-20	3	10
ENSG00000257365.7	0.773854202135498	3.78974765463475e-20	3	12
ENSG00000101298.13	0.773888348881324	3.76643962770156e-20	1	6
ENSG00000131467.10	0.773907512488617	3.75341994106195e-20	1	3
ENSG00000180739.13	0.773940048188188	3.73141539263925e-20	3	14
ENSG00000126091.19	0.773947614334559	3.72631624937487e-20	1	10
ENSG00000186288.5	0.773948315040407	3.72584435705553e-20	1	6
ENSG00000145730.20	0.773951342120399	3.72380642876798e-20	1	6
ENSG00000160293.16	0.773955125896932	3.72126059100101e-20	1	10
ENSG00000100784.10	0.774026341921321	3.67365861133793e-20	6	10
ENSG00000170382.11	0.774040494368294	3.6642696116595e-20	1	10
ENSG00000184258.6	0.774103059596599	3.62304131445972e-20	1	6
ENSG00000163428.3	0.774194520392918	3.56358190428889e-20	6	1
ENSG00000219200.11	0.774246168700653	3.5304249932475e-20	1	6
ENSG00000180398.11	0.774257293526862	3.52332247726076e-20	1	3
ENSG00000177542.10	0.774263111082186	3.51961385772043e-20	1	10
ENSG00000103111.14	0.774282778719538	3.50710405124246e-20	10	1
ENSG00000197444.9	0.774316621325519	3.48567917746604e-20	1	14
ENSG00000088543.14	0.774321673889659	3.48249146200303e-20	1	14
ENSG00000129292.20	0.77432627489361	3.47959110512311e-20	6	1
ENSG00000122435.9	0.774403369674839	3.43134025758732e-20	3	10
ENSG00000170653.18	0.774456230438591	3.39863301420402e-20	6	1
ENSG00000185518.11	0.774476830317511	3.38596918610176e-20	1	6
ENSG00000169562.9	0.774590709276838	3.31678492868159e-20	3	12
ENSG00000197892.12	0.77466293290183	3.2736212866378e-20	3	14
ENSG00000156959.8	0.774674642576235	3.26667475175771e-20	1	6
ENSG00000069966.18	0.774675893210036	3.26593368495375e-20	1	3
ENSG00000122008.15	0.774847975114057	3.16550872113722e-20	3	10
ENSG00000152332.15	0.774851180145851	3.16366706774759e-20	1	6
ENSG00000163946.13	0.774925152905054	3.12144952699808e-20	3	1
ENSG00000140299.11	0.774928312857603	3.1196583339548e-20	6	1
ENSG00000159164.9	0.774966716812781	3.09796904522082e-20	1	13
ENSG00000008394.12	0.775020151238556	3.06803467049662e-20	4	13
ENSG00000143303.11	0.775041053572791	3.0564016675966e-20	3	8
ENSG00000108852.14	0.775091787772722	3.02834401106898e-20	3	12
ENSG00000123096.11	0.775137817071299	3.00310499128703e-20	4	13
ENSG00000144451.18	0.775211247382061	2.96326391151472e-20	6	10
ENSG00000161203.13	0.775218660686896	2.95927033936312e-20	1	6
ENSG00000204991.10	0.775231809691393	2.95219978865909e-20	1	10
ENSG00000154767.14	0.775250063308075	2.94241156750095e-20	3	10
ENSG00000129451.11	0.775257606237037	2.93837600330933e-20	1	13
