"y","z[0]","z[1]","z[2]","z[3]","z[4]","z[5]","z[6]","z[7]","z[8]","z[9]","z[10]","z[11]","z[12]","z[13]","z[14]","z[15]","z[16]","z[17]","z[18]","z[19]","z[20]","z[21]","z[22]","z[23]","z[24]","z[25]","z[26]","z[27]","z[28]","z[29]","z[30]","z[31]","z[32]","z[33]","z[34]","z[35]","z[36]","z[37]","z[38]","z[39]","z[40]","z[41]","z[42]","z[43]","z[44]","z[45]","z[46]","z[47]","z[48]","z[49]","z[50]","z[51]","z[52]","z[53]"
"TWF1","0.4002329475140132","0.3718424692436485","0.3572832496178205","0.3244522093615782","0.3784669141734003","0.43852369512994105","0.5129213074179223","0.23149159205066605","0.22486714712091432","0.2483802868166266","0.28943728616146175","0.24299337555507025","0.21139986896702334","0.24677877265778553","0.23076363106937467","0.2732765523767926","0.24939943219043462","0.20674091868675837","0.4447841595690471","0.285943073451263","0.37388075999126447","1.0","0.16328164810366164","0.536070466622989","0.37904928295843343","0.40416393681298685","0.40307199534104976","0.37635582732765527","0.8007570794205431","0.42309092232656326","0.4169760500837155","0.10002183882943874","0.051466841377302175","0.2336754749945403","0.2813569192691272","0.1998980854626192","0.3074179223993594","0.40758535342505636","0.03348620513940453","0.36616437358957554","0.2807017543859649","0.15854990172526753","0.3926621533085826","0.3770837883089466","0.28274004513358086","0.2887093251801703","0.3968843270000728","0.1865036034068574","0.25740700298464003","0.18621241901434082","0.4455121205503385","0.39018708597219187","0.5632962073232874","0.028244886074106426"
"ERBB3","0.008454608454608454","0.015523215523215523","0.007415107415107415","0.007068607068607068","0.025467775467775466","0.010187110187110186","0.0857934857934858","0.10935550935550936","0.04528759528759529","0.11638946638946639","0.0264033264033264","0.03409563409563409","0.07602217602217602","0.06015246015246015","0.16777546777546776","0.0955994455994456","0.06652806652806652","0.14594594594594593","0.4006930006930007","0.18142758142758142","0.16278586278586277","0.0021829521829521826","0.001004851004851005","0.11178101178101177","0.10675675675675675","0.14871794871794872","0.36060291060291055","0.10831600831600831","0.5419265419265419","0.1060984060984061","0.057588357588357585","0.03409563409563409","0.00828135828135828","0.1532224532224532","0.1274081774081774","0.33076923076923076","0.16673596673596675","0.5698544698544697","0.005959805959805959","1.0","0.010464310464310464","0.18232848232848234","0.020859320859320855","0.3453915453915454","0.5526334026334027","0.5838530838530838","0.3158004158004158","0.0022176022176022174","0.38087318087318084","0.022314622314622314","0.08773388773388772","0.0193000693000693","0.3648648648648648","0.0006237006237006236"
"PAK6","0.006844626967830254","0.007871321013004792","0.19815195071868585","0.010609171800136893","0.006502395619438741","0.005817932922655716","0.02908966461327858","0.4063997262149213","0.6779603011635867","0.45687885010266943","0.7652292950034223","0.809719370294319","0.8613963039014375","0.7467488021902806","0.2874743326488707","0.19079397672826828","0.5828199863107462","0.34325804243668717","0.02840520191649555","0.06228610540725531","0.046201232032854214","0.0013689253935660506","0.01830937713894593","0.022587268993839837","0.034907597535934295","0.007529089664613279","0.02857631759069131","0.010951403148528405","0.7327173169062287","0.009240246406570844","0.04346338124572211","0.12251882272416154","0.05903490759753594","0.09582477754962354","0.13809034907597537","0.003080082135523614","0.054928131416837785","0.16136208076659822","0.020876112251882274","0.007529089664613279","0.022245037645448325","0.06981519507186859","0.49007529089664614","0.14168377823408623","0.9147843942505134","1.0","0.024298425735797397","0.027036276522929503","0.07118412046543464","0.8045859000684463","0.2754962354551677","0.01540041067761807","0.3571184120465435","0.004791238877481178"
"MAP3K9","0.004866180048661801","0.013625304136253041","0.04111922141119221","0.009245742092457421","0.00535279805352798","0.00389294403892944","0.01070559610705596","0.10851581508515815","0.21824817518248177","0.10413625304136254","0.921654501216545","1.0","0.3231143552311435","0.4019464720194647","0.12311435523114354","0.19221411192214113","0.1362530413625304","0.07639902676399027","0.029197080291970802","0.09781021897810217","0.03114355231143552","0.0024330900243309003","0.1416058394160584","0.013625304136253041","0.017761557177615572","0.008272506082725062","0.04817518248175182","0.024817518248175182","0.310948905109489","0.03114355231143552","0.01751824817518248","0.0170316301703163","0.01143552311435523","0.05498783454987834","0.07858880778588807","0.041605839416058395","0.08369829683698296","0.11800486618004864","0.03600973236009732","0.006326034063260341","0.03454987834549878","0.05961070559610706","0.23990267639902674","0.06909975669099756","0.13065693430656933","0.15863746958637467","0.07883211678832117","0.05206812652068127","0.06326034063260341","0.4554744525547445","0.1503649635036496","0.013625304136253041","0.16082725060827252","0.00583941605839416"
"LMTK2","0.2483419307295505","0.23065585851142223","0.4340456890198968","0.2741341193809875","0.2811348563006632","0.34340456890198967","0.35814296241709653","0.21075902726602802","0.41562269712601324","0.3511422254974208","0.9218865143699336","0.8224023581429624","0.8224023581429624","1.0","0.24465733235077375","0.28555637435519526","0.424834193072955","0.264554163596168","0.17907148120854827","0.16285924834193072","0.2527634487840825","0.2520265291083272","0.2236551215917465","0.3271923360353722","0.31098010316875463","0.28739867354458365","0.37656595431098006","0.26381724392041267","0.5335298452468681","0.27708179808400885","0.3316138540899042","0.3515106853352984","0.23581429624170966","0.16064848931466472","0.23618275607958733","0.1801768607221813","0.49889462048636696","0.4270449521002211","0.344141488577745","0.30508474576271183","0.30840088430361096","0.28592483419307296","0.5674281503316139","0.32056005895357403","0.578481945467944","0.6020633750921149","0.3470891672807664","0.32277081798084006","0.29771554900515845","0.4694178334561533","0.42078113485630064","0.34856300663227713","0.4093588798820928","0.10390567428150331"
"TGFBR2","0.8760145535964177","0.8446683459277919","0.23963056255247694","0.6691855583543241","0.6999720123145817","0.5457038902882732","0.43498460677301987","0.02507696613490065","0.020598936467954104","0.03285754268122027","0.014105793450881613","0.015617128463476073","0.021718443884690738","0.022781975930590545","0.028659389868457882","0.030618527847746994","0.021522530086761825","0.03380912398544641","0.049202350965575146","0.04886649874055417","0.7511894766302827","1.0","0.003302546879373076","0.4057654631961937","0.3890568150013994","0.5233697173243773","0.3205989364679541","0.49521410579345093","0.10265883011474952","0.5110551357402743","0.4597816960537364","0.27204030226700254","0.17069689336691857","0.2055975370836832","0.19507416736635882","0.05132941505737476","0.6014553596417577","0.2522250209907641","0.06924153372516094","0.6940945983767144","0.1096837391547719","0.08709767702211027","0.0874895046179681","0.23733557234816682","0.15684298908480274","0.18779736915757067","0.38169605373635607","0.34234536803806326","0.19473831514133783","0.03638399104394067","0.5810243492863141","0.44883851105513584","0.2751189476630283","0.07746991323817522"
"SYK","0.12429667519181586","0.1","0.056649616368286436","0.07046035805626598","0.0948849104859335","0.03734015345268542","0.09028132992327365","0.021611253196930944","0.01432225063938619","0.02404092071611253","0.007928388746803069","0.00639386189258312","0.012020460358056265","0.01227621483375959","0.02071611253196931","0.0309462915601023","0.01867007672634271","0.01815856777493606","0.08030690537084399","0.046547314578005115","0.09437340153452685","0.0005115089514066496","1.0","0.04245524296675191","0.0608695652173913","0.07877237851662404","0.2364450127877238","0.06240409207161125","0.4033248081841432","0.06138107416879795","0.07672634271099744","0.020460358056265986","0.01329923273657289","0.12838874680306903","0.19603580562659847","0.015728900255754474","0.3025575447570332","0.16138107416879796","0.00690537084398977","0.10179028132992327","0.017135549872122763","0.09053708439897698","0.06675191815856776","0.09130434782608694","0.2111253196930946","0.22685421994884908","0.5143222506393862","0.9946291560102302","0.08849104859335039","0.18132992327365727","0.5757033248081842","0.037595907928388746","0.24360613810741683","0.5542199488491049"
"PRKCE","0.15093777910092288","0.12265555224769276","0.05835069961298005","0.08172075022328074","0.09794581720750223","0.08514438821077701","0.15331944030961595","0.22313188448943136","0.40101220601369447","0.15302173265852934","1.0","0.6186364989580232","0.37779100922893716","0.8151235486752009","0.27002083953557604","0.16165525454004165","0.1667162846085144","0.11074724620422745","0.06430485263471271","0.05715986900863351","0.13456385829115805","0.12533492110747244","0.1954450729383745","0.16850253051503422","0.143941649300387","0.16969336111938074","0.10107174754391186","0.11818993748139327","0.10717475439118784","0.11521286097052694","0.14200654956832387","0.08246501935099732","0.056564453706460245","0.11759452217921999","0.17177731467698718","0.08648407264066686","0.8069365882703183","0.08023221196784758","0.09645727895206907","0.15153319440309615","0.08544209586186365","0.042869901756475134","0.1774337600476332","0.10360226257814825","0.07427805894611492","0.08276272700208394","0.10062518606728192","0.0949687406966359","0.07442691277165822","0.7127121167013992","0.14528133373027685","0.1693956534682941","0.11476629949389698","0.04406073236082167"
"TYK2","0.3840901331512462","0.3316490269716627","0.30903038579720044","0.2857801297371117","0.31628542164561285","0.24868555821099356","0.39842949812222606","0.15302150904745648","0.15551382724479346","0.16505633321952887","0.5455786958006146","0.5947422328439741","0.22864458859679074","0.17657903721406623","0.15698190508706042","0.18393649709798568","0.17413793103448275","0.14759303516558553","0.23745305565039262","0.1594059405940594","0.38989416182997616","0.26131785592352336","0.6799248890406283","0.405599180607716","0.4972686923864801","0.2923181973369751","0.32695459201092525","0.27108228064185735","0.24605667463298053","0.2562990781836804","0.4298395356777058","0.18350973028337317","0.13352680095595768","0.3178217821782179","0.3643222942983954","0.28902355752816666","0.5986684875384091","0.3525093888699215","0.11068624103789691","0.5455786958006146","0.42540116080573576","0.17248207579378627","0.5493342437692046","0.4851485148514852","0.3287470126322977","0.3424376920450666","0.46466370775008536","1.0","0.25855240696483445","0.16473199044042336","0.5250938886992148","0.4347900307272107","0.3757255035848413","0.5315807442813247"
"EGFR","0.4535546613011402","0.28437290409121396","0.16934942991281018","0.2608987256874581","0.21512407780013415","0.36384976525821594","0.2756539235412475","0.05633802816901408","0.06270959087860496","0.09297451374916163","0.02716297786720322","0.05516431924882629","0.07427900737759892","0.06488933601609657","0.03688799463447351","0.03864855801475519","0.08165660630449363","0.06371562709590878","0.02062374245472837","0.04745137491616365","0.38128772635814884","0.6120053655264923","0.001676727028839705","0.33383635144198526","0.26031187122736416","0.20707578806170354","0.1811703554661301","0.38950368879946345","0.3482562038900067","0.35680751173708924","0.2902414486921529","0.0613682092555332","0.03864855801475519","0.06740442655935613","0.1272635814889336","0.22317236753856473","0.25377263581488935","0.39302481556002683","0.08903420523138832","0.5196177062374245","0.20129107981220656","0.08375251509054327","0.05432595573440644","0.3194164989939638","0.9367873910127431","1.0","0.15526492287055668","0.0670690811535882","0.11401743796109994","0.07042253521126761","0.29443326626425215","0.23960429242119383","0.4870892018779342","0.00033534540576794097"
